Episode,Score,Steps,Epsilon,Avg_Loss
1,-72.59999999999998,74,0.999,24.43383641676469
2,-57.79999999999998,34,0.998001,134.07856248406802
3,-32.79999999999967,322,0.997002999,99.3195440510045
4,34.99999999999997,74,0.996005996001,94.76321825465641
5,-73.14999999999972,310,0.995009990004999,63.69447655831614
6,22.600000000000207,152,0.994014980014994,61.49417321305526
7,16.950000000000074,83,0.993020965034979,54.6037401233811
8,-82.1,5,0.9920279440699441,45.36931114196777
9,-150.04999999999987,305,0.9910359161258742,77.38390536230119
10,-126.4499999999997,475,0.9900448802097482,61.155902704941596
11,-59.25,15,0.9890548353295385,82.40385211308798
12,-49.5,20,0.988065780494209,85.28430726528168
13,-26.549999999999542,330,0.9870777147137147,56.333533584710324
14,-29.949999999999903,225,0.986090636999001,55.07057812584771
15,11.200000000000358,278,0.9851045463620021,52.346017707166055
16,-36.39999999999999,15,0.98411944181564,64.11722580591838
17,125.64999999999927,304,0.9831353223738244,68.63889039817609
18,62.200000000000074,189,0.9821521870514506,70.91031727210554
19,-40.949999999999946,69,0.9811700348643991,52.91722438646399
20,-62.7,37,0.9801888648295347,66.72008629102965
21,-62.24999999999996,47,0.9792086759647052,85.19394389619218
22,-21.699999999999974,26,0.9782294672887405,92.34338397246141
23,-50.64999999999998,24,0.9772512378214517,73.05103063583374
24,-39.79999999999988,231,0.9762739865836303,85.18617971222122
25,8.500000000000156,129,0.9752977125970467,92.82493781304174
26,-11.449999999999662,245,0.9743224148844496,88.86483895243431
27,134.19999999999925,236,0.9733480924695651,74.86515601812783
28,-1.8499999999999233,58,0.9723747443770956,84.32953878106743
29,-31.64999999999992,64,0.9714023696327185,68.88768096268177
30,111.49999999999986,194,0.9704309672630859,93.32467001492215
31,-63.35,60,0.9694605362958227,86.72707025210063
32,-49.04999999999997,30,0.9684910757595269,59.058741410573326
33,-75.49999999999997,143,0.9675225846837673,121.21637174633
34,155.7499999999999,165,0.9665550620990835,134.19593920274215
35,53.09999999999988,113,0.9655885070369844,136.4181164598043
36,-56.35000000000001,14,0.9646229185299474,222.9373414175851
37,-52.44999999999983,119,0.9636582956114175,132.63321815618949
38,-54.400000000000006,23,0.9626946373158061,135.6016264791074
39,64.64999999999961,149,0.9617319426784903,157.52362102790167
40,36.45000000000002,54,0.9607702107358118,136.31016536995216
41,-66.5,27,0.959809440525076,122.2738220779984
42,-53.4499999999999,101,0.9588496310845509,196.6985944993425
43,-56.39999999999999,15,0.9578907814534664,191.05118713378906
