Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,687.699999999999,83,0.9995,0,42,16
2,628.6999999999969,149,0.9990002500000001,0,65,15
3,1220.899999999999,218,0.9985007498750001,0,74,27
4,148.10000000000008,17,0.9980014995000627,0,3,5
5,4564.100000000061,1000,0.9975024987503127,267.99691426115834,359,94
6,4016.4000000000433,588,0.9970037475009376,219.52232664458606,250,84
7,830.6999999999985,128,0.9965052456271871,258.44723016023636,66,20
8,3963.200000000032,647,0.9960069930043736,233.62254811659847,222,83
9,1293.3000000000068,416,0.9955089895078715,267.5986936642573,152,29
