Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,239.40000000000032,70,0.9995,0,37,8
2,639.5999999999989,73,0.9990002500000001,0,32,16
3,2876.0000000000314,521,0.9985007498750001,0,221,61
4,2548.5000000000095,382,0.9980014995000627,309.145299496858,134,54
5,95.70000000000005,31,0.9975024987503127,334.6608428955078,13,4
6,5177.100000000034,867,0.9970037475009376,313.5735057228027,364,108
7,1131.9999999999989,133,0.9965052456271871,311.14373744878554,48,25
8,2464.800000000005,257,0.9960069930043736,313.517666679412,96,52
9,2776.6000000000213,519,0.9955089895078715,317.3673196840378,216,59
