Episode,Score,Steps,Epsilon,Avg_Loss,Wall_Hits,Coins
1,2259.5000000000286,1000,0.9995,0,405,48
2,1024.0000000000016,186,0.9990002500000001,124.43437258402507,75,23
3,837.7999999999987,89,0.9985007498750001,188.1487840802482,34,19
4,3227.500000000085,881,0.9980014995000627,167.1355824540882,345,69
5,899.9999999999893,332,0.9975024987503127,135.4544186994254,169,21
6,3654.5000000000978,1000,0.9970037475009376,136.6047535133362,455,76
7,2527.200000000027,523,0.9965052456271871,143.0948285381835,206,54
8,4527.900000000048,865,0.9960069930043736,150.8735227110758,357,95
9,1118.099999999999,227,0.9955089895078715,181.13150558807777,94,25
10,390.49999999999943,74,0.9950112350131176,271.77288828669367,22,10
11,199.0,10,0.9945137293956111,426.28773803710936,1,7
12,1367.1999999999987,233,0.9940164725309134,453.27398494998783,96,30
13,1470.000000000001,200,0.993519464294648,490.8577848815918,102,32
14,2759.6000000000668,1000,0.9930227045625007,453.2834780883789,404,58
15,1459.4000000000058,288,0.9925261932102195,441.1093731986152,119,32
16,2906.400000000092,1000,0.9920299301136144,434.5906315307617,436,61
17,3577.6000000000513,529,0.9915339151485576,492.0355742081352,196,75
18,1757.7000000000057,311,0.9910381481909833,595.5891688306998,113,38
19,1022.8999999999974,195,0.990542629116888,666.0462087777945,77,23
20,1315.8000000000045,255,0.9900473578023296,789.2921125823376,88,29
21,937.1999999999989,91,0.9895523341234285,979.4210949572888,38,21
22,2707.5000000000955,977,0.9890575579563669,800.5501860166645,449,59
23,1184.7999999999995,111,0.9885630291773887,777.2381578050218,42,27
24,3858.600000000087,1000,0.9880687476628001,875.865633972168,414,80
25,1470.1999999999998,222,0.9875747132889687,792.0397946469419,78,32
26,2392.9000000000233,419,0.9870809259323243,921.5765536724809,153,52
27,2654.10000000002,327,0.9865873854693582,1005.7820443902905,134,56
28,1083.8,120,0.9860940917766235,1228.8932495117188,44,24
29,2020.600000000004,218,0.9856010447307353,1212.1513823063,77,43
30,835.4999999999986,100,0.98510824420837,1523.0949713134767,47,19
31,2570.0000000000236,553,0.9846156900862658,1446.250908187673,248,55
32,1028.4999999999975,158,0.9841233822412228,1638.6832089967365,58,24
33,1519.099999999998,225,0.9836313205501022,1705.5732367621529,85,34
34,1038.299999999999,93,0.9831395048898272,1799.4791423838626,25,23
35,1803.700000000004,335,0.9826479351373822,1986.8336484083488,130,39
36,4657.900000000009,1000,0.9821566111698136,1967.6918259277343,421,96
37,3559.6000000000936,1000,0.9816655328642288,1783.1442380065919,404,74
38,4199.500000000057,707,0.9811747000977967,1549.4716555151608,299,88
39,384.5999999999992,111,0.9806841127477479,1684.2980786572705,45,10
40,3838.0000000000473,801,0.9801937706913741,1860.5582224337497,321,81
41,1075.599999999997,174,0.9797036738060285,1849.0143846533765,72,24
42,4408.000000000025,657,0.9792138219691255,2006.2624819217026,265,92
43,1849.8000000000006,701,0.978724215058141,2341.6712282537223,303,41
44,3508.4000000000506,654,0.978234852950612,2459.8339162470734,263,74
45,1827.200000000001,166,0.9777457355241367,2011.8424598050406,63,40
46,1870.900000000013,553,0.9772568626563747,2686.071712114496,240,41
47,1368.6000000000013,220,0.9767682342250465,2701.40151422674,95,30
48,389.20000000000016,73,0.976279850107934,2413.679037015732,36,11
49,147.20000000000007,19,0.9757917101828801,3264.419529965049,10,5
50,690.3999999999995,70,0.9753038143277888,3974.7742954799105,28,16
51,2408.3000000000666,628,0.974816162420625,3880.1721164193123,290,52
52,382.69999999999976,117,0.9743287543394147,3997.666751698551,57,10
53,1066.899999999998,246,0.973841589962245,4374.378091951696,86,24
54,978.700000000001,158,0.973354669167264,5252.749232811264,56,23
55,882.1999999999986,126,0.9728679918326804,4889.778103298611,53,20
56,941.9999999999998,64,0.972381557836764,5766.231374740601,17,22
57,774.6999999999981,169,0.9718953670578457,5061.6801374988445,86,18
58,883.1999999999983,112,0.9714094193743169,5990.903390066965,58,20
59,2723.800000000043,539,0.9709237146646298,5630.321392335343,224,58
60,2486.4000000000037,444,0.9704382528072976,4750.7745735237195,194,53
61,4358.200000000067,1000,0.9699530336808939,4614.14253717041,418,90
62,1347.8999999999983,354,0.9694680571640535,4548.1173043978415,169,30
63,1074.5999999999985,178,0.9689833231354715,6712.854260391064,77,24
64,243.5999999999999,45,0.9684988314739038,4762.7670681423615,20,7
65,2040.800000000018,443,0.9680145820581669,5047.598766731624,150,44
66,1225.8999999999985,165,0.9675305747671379,7564.131109434185,78,27
67,1543.5000000000057,390,0.9670468094797544,5593.446262144431,176,34
68,690.5999999999993,64,0.9665632860750146,4389.062013626099,31,16
69,1067.099999999998,226,0.9660800044319772,4936.613786275408,104,24
70,1243.700000000014,754,0.9655969644297613,6379.624288948525,311,29
71,2139.5000000000136,402,0.9651141659475465,6272.074964532805,204,47
72,2579.100000000008,491,0.9646316088645728,6910.33832097879,219,55
73,919.5999999999954,216,0.9641492930601405,5706.945543077257,89,21
74,3930.1000000000654,838,0.9636672184136105,6442.772470478795,362,84
75,2595.4000000000265,384,0.9631853848044037,6499.493856747945,163,56
76,1320.9000000000017,213,0.9627037921120016,7140.265990064738,79,29
77,3955.200000000097,1000,0.9622224402159457,6883.089631469727,448,82
78,5160.900000000021,1000,0.9617413289958378,6178.18165600586,391,106
79,640.1999999999986,77,0.9612604583313399,5507.777751179485,22,15
80,194.00000000000017,41,0.9607798281021742,5821.125193526105,20,6
81,2065.5000000000055,255,0.9602994381881231,6732.167016601563,91,44
82,2528.8000000000025,500,0.9598192884690291,8042.114735351563,213,55
83,1669.0000000000032,222,0.9593393788247946,7833.622840125282,90,36
84,1906.2999999999968,312,0.9588597091353822,8011.047482221555,126,41
85,2887.8000000000293,463,0.9583802792808146,8312.294360298833,161,61
86,3077.60000000004,513,0.9579010891411742,7649.0246919925685,213,65
87,2579.500000000016,844,0.9574221385966036,6799.507412011025,362,57
88,3075.8000000000234,879,0.9569434275273054,7516.315244846105,365,66
89,3293.700000000027,401,0.9564649558135419,7320.806040927953,163,69
90,891.8999999999991,60,0.9559867233356352,6086.224110921224,23,20
91,1625.6000000000017,176,0.9555087299739674,8074.749959078702,69,35
92,1811.700000000008,283,0.9550309756089804,7393.610806630273,102,39
93,5554.199999999957,1000,0.954553460121176,8008.460730102539,458,114
94,1398.1000000000072,713,0.9540761833911156,8219.578898169048,308,32
95,1033.0999999999992,120,0.95359914529942,10574.848952229817,50,23
96,2728.900000000045,840,0.9531223457267703,9724.794049072265,372,59
97,1527.8000000000015,162,0.952645784553907,7380.293157883632,61,33
98,3143.200000000012,421,0.9521694616616301,10829.03124188131,148,67
99,1720.6000000000022,217,0.9516933769307994,8226.773444812969,78,37
100,1467.5999999999992,225,0.951217530242334,9470.061682400174,100,33
101,2559.2000000000835,1000,0.9507419214772129,9530.815421997071,408,54
102,3737.8000000000357,455,0.9502665505164744,9476.293886826064,168,79
103,3812.500000000071,959,0.9497914172412162,8667.82068125672,418,81
104,675.6999999999982,163,0.9493165215325956,9557.178642038918,82,16
105,3642.5000000000628,746,0.9488418632718294,8685.550966973598,331,77
106,4213.800000000069,1000,0.9483674423401935,9877.51955029297,362,87
107,2897.600000000018,369,0.9478932586190235,10501.282543482173,157,61
108,4059.900000000106,1000,0.9474193119897141,10457.660369750976,401,84
109,582.6999999999979,128,0.9469456023337193,10415.21033859253,46,15
110,1226.5,174,0.9464721295325524,9753.44710426769,62,28
111,877.6999999999967,156,0.9459988934677862,12081.128921900041,68,20
112,3462.0000000000446,658,0.9455258940210524,11661.09905096825,224,73
113,2296.000000000019,382,0.9450531310740419,14451.012479931896,160,49
114,2059.900000000008,288,0.9445806045085049,12913.319368998209,114,44
115,784.0999999999981,112,0.9441083142062507,14079.714859008789,48,19
116,738.3999999999983,88,0.9436362600491477,16212.494504061613,30,17
117,295.0000000000001,34,0.9431644419191232,17474.163674747244,17,9
118,1720.9000000000015,206,0.9426928596981636,12677.083383504627,87,37
119,98.30000000000004,14,0.9422215132683146,27559.33663504464,4,5
120,1084.899999999999,103,0.9417504025116805,16315.251104558556,49,24
121,1508.3999999999953,302,0.9412795273104247,16020.07908054377,115,34
122,3655.800000000096,1000,0.9408088875467696,14428.50767578125,442,76
123,4324.100000000045,912,0.9403384831029963,14793.969045806349,348,92
124,4274.900000000063,883,0.9398683138614449,13838.694260179254,369,91
125,2035.200000000017,464,0.9393983797045142,15999.211086404735,186,44
126,2920.7000000000485,576,0.938928680514662,13449.850218878852,218,62
